store_id,transaction_id,timestamp,basket_value_inr
STORE_PURPLLE_001,TXN_00000,2026-04-10T21:34:00Z,611.83
STORE_PURPLLE_001,TXN_00001,2026-04-10T21:47:00Z,1143.85
STORE_PURPLLE_001,TXN_00002,2026-04-10T20:41:00Z,703.5
STORE_PURPLLE_001,TXN_00003,2026-04-10T20:26:00Z,2449.27
STORE_PURPLLE_001,TXN_00004,2026-04-10T21:22:00Z,532.55
STORE_PURPLLE_001,TXN_00005,2026-04-10T21:07:00Z,353.29
STORE_PURPLLE_001,TXN_00006,2026-04-10T20:24:00Z,960.57
STORE_PURPLLE_001,TXN_00007,2026-04-10T21:17:00Z,2206.56
STORE_PURPLLE_001,TXN_00008,2026-04-10T21:24:00Z,896.22
STORE_PURPLLE_001,TXN_00009,2026-04-10T21:36:00Z,2529.31
STORE_PURPLLE_001,TXN_00010,2026-04-10T21:06:00Z,966.43
STORE_PURPLLE_001,TXN_00011,2026-04-10T21:28:00Z,1154.12
STORE_PURPLLE_001,TXN_00012,2026-04-10T20:13:00Z,2716.12
STORE_PURPLLE_001,TXN_00013,2026-04-10T20:33:00Z,2518.95
STORE_PURPLLE_001,TXN_00014,2026-04-10T20:56:00Z,1153.08
STORE_PURPLLE_001,TXN_00015,2026-04-10T20:40:00Z,3360.94
STORE_PURPLLE_001,TXN_00016,2026-04-10T20:56:00Z,582.18
STORE_PURPLLE_001,TXN_00017,2026-04-10T21:01:00Z,564.33
STORE_PURPLLE_001,TXN_00018,2026-04-10T20:57:00Z,2212.11
STORE_PURPLLE_001,TXN_00019,2026-04-10T21:56:00Z,391.21
STORE_PURPLLE_001,TXN_00020,2026-04-10T21:11:00Z,1992.74
STORE_PURPLLE_001,TXN_00021,2026-04-10T21:01:00Z,506.1
STORE_PURPLLE_001,TXN_00022,2026-04-10T20:50:00Z,2945.57
STORE_PURPLLE_001,TXN_00023,2026-04-10T21:32:00Z,3127.72
STORE_PURPLLE_001,TXN_00024,2026-04-10T20:59:00Z,2126.39
STORE_PURPLLE_001,TXN_00025,2026-04-10T21:43:00Z,476.05
STORE_PURPLLE_001,TXN_00026,2026-04-10T21:37:00Z,990.67
STORE_PURPLLE_001,TXN_00027,2026-04-10T20:50:00Z,3451.97
STORE_PURPLLE_001,TXN_00028,2026-04-10T20:42:00Z,3066.07
STORE_PURPLLE_001,TXN_00029,2026-04-10T21:01:00Z,1153.41
